question_id	question_text	gold_answer	reasoning_path	seed_entity	difficulty	domain
MUSIC_2HOP_015	What type of music category is the genre associated with Sehrazat?	styles of music	Sehrazat | genre | PopStar | instance of | styles of music	Sehrazat	2-hop	Turkish Music
MUSIC_2HOP_016	What broader genre category does the music genre associated with Sehrazat belong to?	Manufactured pop	Sehrazat | genre | PopStar | subclass of | Manufactured pop	Sehrazat	2-hop	Turkish Music
MUSIC_2HOP_017	In which country is the record label associated with Sehrazat located?	Germanz	Sehrazat | record label | EMI Odeon | country | Germanz	Sehrazat	2-hop	Turkish Music
MUSIC_2HOP_018	In which administrative territorial entity is the birth place of Sehrazat located?	Ankara Province	Sehrazat | place of birth | Angora, Turkey | located in the administrative territorial entity | Ankara Province	Sehrazat	2-hop	Turkish Music
MUSIC_2HOP_019	In which country was Sehrazat born?	turkiye	Sehrazat | place of birth | Angora, Turkey | country | turkiye	Sehrazat	2-hop	Turkish Music
MUSIC_2HOP_020	What broader instrument class does the instrument used by haluk levent belong to?	plucked stringed instrument	haluk levent | instrument | Guiatr | subclass of | plucked stringed instrument	haluk levent	2-hop	Turkish Music
MUSIC_2HOP_021	In which administrative territorial entity is the birth place of haluk levent located?	adana province, turkey	haluk levent | place of birth | adanija | located in the administrative territorial entity | adana province, turkey	haluk levent	2-hop	Turkish Music
MUSIC_2HOP_022	In which country was haluk levent born?	turkiye	haluk levent | place of birth | adanija | country | turkiye	haluk levent	2-hop	Turkish Music
MUSIC_2HOP_023	In which administrative territorial entity is the birth place of demet sagiroglu located?	Erzerum (Theodosiopolis)	demet sagiroglu | place of birth | Theodosiopolis (Armenia) | located in the administrative territorial entity | Erzerum (Theodosiopolis)	demet sagiroglu	2-hop	Turkish Music
MUSIC_2HOP_024	In which country was demet sagiroglu born?	turkiye	demet sagiroglu | place of birth | Theodosiopolis (Armenia) | country | turkiye	demet sagiroglu	2-hop	Turkish Music
MUSIC_2HOP_025	What type of music category is the genre associated with demet sagiroglu?	styles of music	demet sagiroglu | genre | PopStar | instance of | styles of music	demet sagiroglu	2-hop	Turkish Music
MUSIC_2HOP_026	What broader genre category does the music genre associated with demet sagiroglu belong to?	Manufactured pop	demet sagiroglu | genre | PopStar | subclass of | Manufactured pop	demet sagiroglu	2-hop	Turkish Music
MUSIC_2HOP_027	In which country is the institution where İlhan Usmanbaş studied located?	turkiye	İlhan Usmanbaş | educated at | Ankara State Conservatory | country | turkiye	İlhan Usmanbaş	2-hop	Turkish Music
MUSIC_2HOP_028	In which country was İlhan Usmanbaş born?	turkiye	İlhan Usmanbaş | place of birth | istanbul (turkey) | country | turkiye	İlhan Usmanbaş	2-hop	Turkish Music
MUSIC_2HOP_029	In which administrative territorial entity is the birth place of İlhan Usmanbaş located?	greater istanbul	İlhan Usmanbaş | place of birth | istanbul (turkey) | located in the administrative territorial entity | greater istanbul	İlhan Usmanbaş	2-hop	Turkish Music
MUSIC_2HOP_030	What type of award has İlhan Usmanbaş received?	Titles of Honour	İlhan Usmanbaş | award received | state artist | instance of | Titles of Honour	İlhan Usmanbaş	2-hop	Turkish Music
MUSIC_3HOP_001	In which country is the administrative territorial entity containing the birth place of Zulfu Livaneli located?	turkiye	Zulfu Livaneli | place of birth | ilgın | located in the administrative territorial entity | Konya Province | country | turkiye	Zulfu Livaneli	3-hop	Turkish Music
MUSIC_3HOP_002	In which country is the administrative territorial entity containing the birth place of Arif Sag located?	turkiye	Arif Sag | place of birth | Theodosiopolis (Armenia) | located in the administrative territorial entity | Erzerum (Theodosiopolis) | country | turkiye	Arif Sag	3-hop	Turkish Music
MUSIC_3HOP_003	What broader family does the instrument used by Arif Sag belong to?	plucked stringed instrument	Arif Sag | instrument | baglamas | subclass of | Leuto | subclass of | plucked stringed instrument	Arif Sag	3-hop	Turkish Music
MUSIC_3HOP_004	What broader family does the instrument used by Arif Sag belong to?	string musical instrument	Arif Sag | instrument | baglamas | subclass of | plucked stringed instrument | subclass of | string musical instrument	Arif Sag	3-hop	Turkish Music
MUSIC_3HOP_005	In which country is the administrative territorial entity containing the birth place of ümit besen located?	turkiye	ümit besen | place of birth | osmaniye | located in the administrative territorial entity | Province of Osmaniye | country | turkiye	ümit besen	3-hop	Turkish Music
MUSIC_3HOP_006	What broader family does the instrument used by ümit besen belong to?	orchestral instrument	ümit besen | instrument | acoustic piano | subclass of | keyboard (instrument) | subclass of | orchestral instrument	ümit besen	3-hop	Turkish Music
MUSIC_3HOP_007	What broader musical family does the genre associated with Sehrazat belong to?	meaning (music)	Sehrazat | genre | PopStar | subclass of | Manufactured pop | subclass of | meaning (music)	Sehrazat	3-hop	Turkish Music
MUSIC_3HOP_008	In which country is the administrative territorial entity containing the birth place of Sehrazat located?	turkiye	Sehrazat | place of birth | Angora, Turkey | located in the administrative territorial entity | Ankara Province | country | turkiye	Sehrazat	3-hop	Turkish Music
MUSIC_3HOP_009	What broader family does the instrument used by haluk levent belong to?	string musical instrument	haluk levent | instrument | Guiatr | subclass of | plucked stringed instrument | subclass of | string musical instrument	haluk levent	3-hop	Turkish Music
MUSIC_3HOP_010	In which country is the administrative territorial entity containing the birth place of haluk levent located?	turkiye	haluk levent | place of birth | adanija | located in the administrative territorial entity | adana province, turkey | country | turkiye	haluk levent	3-hop	Turkish Music
MUSIC_3HOP_011	In which country is the administrative territorial entity containing the birth place of demet sagiroglu located?	turkiye	demet sagiroglu | place of birth | Theodosiopolis (Armenia) | located in the administrative territorial entity | Erzerum (Theodosiopolis) | country | turkiye	demet sagiroglu	3-hop	Turkish Music
MUSIC_3HOP_012	What broader musical family does the genre associated with demet sagiroglu belong to?	meaning (music)	demet sagiroglu | genre | PopStar | subclass of | Manufactured pop | subclass of | meaning (music)	demet sagiroglu	3-hop	Turkish Music
MUSIC_3HOP_013	In which country is the administrative territorial entity containing the institution where İlhan Usmanbaş studied located?	turkiye	İlhan Usmanbaş | educated at | Galatasaray Lyceum | located in the administrative territorial entity | istanbul (turkey) | country | turkiye	İlhan Usmanbaş	3-hop	Turkish Music
MUSIC_3HOP_014	What broader class does an award received by İlhan Usmanbaş belong to?	awards/sandbox	İlhan Usmanbaş | award received | state artist | instance of | Titles of Honour | subclass of | awards/sandbox	İlhan Usmanbaş	3-hop	Turkish Music
MUSIC_3HOP_015	In which country is the administrative territorial entity containing the birth place of Aynur Aydin located?	Germanz	Aynur Aydin | place of birth | monaco of bavaria | located in the administrative territorial entity | Upper Bavaria | country | Germanz	Aynur Aydin	3-hop	Turkish Music
MUSIC_COMP_001	Which artist was born in Konya Province, Zulfu Livaneli or Arif Sag?	Zulfu Livaneli	Zulfu Livaneli | place of birth | ilgın | located in the administrative territorial entity | Konya Province	Zulfu Livaneli / Arif Sag	comparison	Turkish Music
MUSIC_COMP_002	Which artist was born in Erzerum (Theodosiopolis), Zulfu Livaneli or Arif Sag?	Arif Sag	Arif Sag | place of birth | Theodosiopolis (Armenia) | located in the administrative territorial entity | Erzerum (Theodosiopolis)	Zulfu Livaneli / Arif Sag	comparison	Turkish Music
MUSIC_COMP_003	Which artist was born in Konya Province, Zulfu Livaneli or ümit besen?	Zulfu Livaneli	Zulfu Livaneli | place of birth | ilgın | located in the administrative territorial entity | Konya Province	Zulfu Livaneli / ümit besen	comparison	Turkish Music
MUSIC_COMP_004	Which artist was born in Province of Osmaniye, Zulfu Livaneli or ümit besen?	ümit besen	ümit besen | place of birth | osmaniye | located in the administrative territorial entity | Province of Osmaniye	Zulfu Livaneli / ümit besen	comparison	Turkish Music
MUSIC_COMP_005	Which artist was born in Konya Province, Zulfu Livaneli or Hümeyra?	Zulfu Livaneli	Zulfu Livaneli | place of birth | ilgın | located in the administrative territorial entity | Konya Province	Zulfu Livaneli / Hümeyra	comparison	Turkish Music
