entityId,name,description
Q1249412,Galatia Salutaris,"Galatia () was the name of a province of the Roman Empire in Anatolia (modern central Turkey). It was established by the first emperor, Augustus (sole rule 30 BC – 14 AD), in 25 BC, covering most of formerly independent Celtic Galatia, with its capital at Ancyra.Under the tetrarchy reforms of Diocletian, its northern and southern parts were split to form the southern part of the province of Paphlagonia and the province of Lycaonia, respectively.In c. 398 AD, during the reign of Arcadius, it was divided into the provinces of Galatia Prima and Galatia Secunda or Salutaris. Galatia Prima covered the northeastern part of the old province, retaining Ancyra as its capital and was headed by a consularis. Salutaris comprised the southwestern half of the old province and was headed by a praeses, with its seat at Pessinus. Both provinces were part of the Diocese of Pontus. The provinces were briefly reunited in 536–548 under Justinian I. Although the area was eventually incorporated in the new thema of Anatolikon in the latter half of the 7th century, traces of the old provincial administration survived until the early 8th century."
Q12544,byzantine (eastern roman) empire,"The Byzantine Empire, also referred to as the Eastern Roman Empire or Byzantium, was the continuation of the Roman Empire in its eastern provinces during Late Antiquity and the Middle Ages, when its capital city was Constantinople (modern Istanbul, formerly Byzantium). It survived the fragmentation and fall of the Western Roman Empire in the 5th century AD and continued to exist for an additional thousand years until it fell to the Ottoman Turks in 1453. During most of its existence, the empire was the most powerful economic, cultural and military force in Europe. ""Byzantine Empire"" is a term created after the end of the realm; its citizens continued to refer to their empire simply as the Roman Empire (Greek: Βασιλεία Ῥωμαίων, tr. Basileia Rhōmaiōn; Latin: Imperium Romanum), or Romania (Ῥωμανία), and to themselves as ""Romans"".Several signal events from the 4th to 6th centuries mark the period of transition during which the Roman Empire's Greek East and Latin West diverged. Constantine I (r. 324–337) reorganised the empire, made Constantinople the new capital and legalised Christianity. Under Theodosius I (r. 379–395), Christianity became the state religion and other religious practices were proscribed. In the reign of Heraclius (r. 610–641), the Empire's military and administration were restructured and adopted Greek for official use in place of Latin. Although the Roman state continued and its traditions were maintained, modern historians distinguish Byzantium from ancient Rome insofar as it was centred on Constantinople, orientated towards Greek rather than Latin culture and characterised by Eastern Orthodox Christianity.The borders of the empire varied through cycles of decline and recovery. During the reign of Justinian I (r. 527–565), the empire reached its greatest extent, after reconquering much of the historically Roman western Mediterranean coast, including North Africa, Italy and Rome, which it held for two more centuries. The Byzantine–Sasanian War of 602–628 exhausted the empire's resources and during the Early Muslim conquests of the 7th century, lost its richest provinces, Egypt and Syria, to the Arab caliphate. During the Macedonian dynasty (10th–11th centuries), the empire expanded again and experienced the two-century long Macedonian Renaissance, which came to an end with the loss of much of Asia Minor to the Seljuk Turks after the Battle of Manzikert in 1071. This battle opened the way for the Turks to settle in Anatolia.The empire recovered during the Komnenian restoration and by the 12th century Constantinople was the largest and wealthiest European city. The Byzantine Empire was delivered a mortal blow during the Fourth Crusade, when Constantinople was sacked in 1204 and the territories that the empire formerly governed were divided into competing Byzantine Greek and Latin realms. Despite the eventual recovery of Constantinople in 1261, the Byzantine Empire remained only one of several small rival states in the area for the final two centuries of its existence. Its remaining territories were progressively annexed by the Ottomans in the Byzantine–Ottoman wars over the 14th and 15th centuries. The Fall of Constantinople to the Ottoman Empire in 1453 ended the Byzantine Empire. The last of the imperial Byzantine successor states, the Empire of Trebizond, would be conquered by the Ottomans eight years later in the 1461 Siege of Trebizond."
Q1254773,family (musical instruments),"A family of musical instruments is a grouping of several different but related sizes or types of instruments. Some schemes of musical instrument classification, such as the Hornbostel-Sachs system, are based on a hierarchy of instrument families and families of families.Some commonly recognized families are:Brass familyStrings familyWoodwind familyPercussion familyKeyboard familyFamily relationships are not always clear-cut. For example, some authorities regard families as encompassing only instruments of different pitch range that have similar construction and tone quality. They therefore, for example, do not regard the cor anglais as a member of the oboe family, because its narrow bore and piriform bell give it a distinctly different tone quality from the oboe."
Q12560,Ottoman empire,"The Ottoman Empire (; Ottoman Turkish: دولت عليه عثمانیه‎, Devlet-i ʿAlīye-i ʿOsmānīye, literally ""The Exalted Ottoman State""; Modern Turkish: Osmanlı İmparatorluğu or Osmanlı Devleti), historically known to its inhabitants and the Eastern world as Rome (Rûm), and mistakenly known in Western Europe as the Turkish Empire or simply Turkey, was a state that controlled much of Southeast Europe, Western Asia and North Africa between the 14th and early 20th centuries. It was founded at the end of the 13th century in northwestern Anatolia in the town of Söğüt (modern-day Bilecik Province) by the Oghuz Turkish tribal leader Osman I. Although initially the dynasty was of Turkic origin, it was thoroughly Persianised in terms of language, culture, literature and habits. After 1354, the Ottomans crossed into Europe, and with the conquest of the Balkans, the Ottoman beylik was transformed into a transcontinental empire. The Ottomans ended the Byzantine Empire with the 1453 conquest of Constantinople by Mehmed the Conqueror.During the 16th and 17th centuries, at the height of its power under the reign of Suleiman the Magnificent, the Ottoman Empire was a multinational, multilingual empire controlling most of Southeast Europe, parts of Central Europe, Western Asia, parts of Eastern Europe and the Caucasus, North Africa and the Horn of Africa. At the beginning of the 17th century, the empire contained 32 provinces and numerous vassal states. Some of these were later absorbed into the Ottoman Empire, while others were granted various types of autonomy during the course of centuries.With Constantinople as its capital and control of lands around the Mediterranean basin, the Ottoman Empire was at the centre of interactions between the Eastern and Western worlds for six centuries. While the empire was once thought to have entered a period of decline following the death of Suleiman the Magnificent, this view is no longer supported by the majority of academic historians. The empire continued to maintain a flexible and strong economy, society and military throughout the 17th and much of the 18th century. However, during a long period of peace from 1740 to 1768, the Ottoman military system fell behind that of their European rivals, the Habsburg and Russian empires. The Ottomans consequently suffered severe military defeats in the late 18th and early 19th centuries, which prompted them to initiate a comprehensive process of reform and modernisation known as the Tanzimat. Thus, over the course of the 19th century, the Ottoman state became vastly more powerful and organised, despite suffering further territorial losses, especially in the Balkans, where a number of new states emerged. The empire allied with Germany in the early 20th century, hoping to escape from the diplomatic isolation which had contributed to its recent territorial losses, and thus joined World War I on the side of the Central Powers. While the Empire was able to largely hold its own during the conflict, it was struggling with internal dissent, especially with the Arab Revolt in its Arabian holdings. During this time, genocide was committed by the Ottoman government against the Armenians, Assyrians and Pontic Greeks.The Empire's defeat and the occupation of part of its territory by the Allied Powers in the aftermath of World War I resulted in its partitioning and the loss of its Middle Eastern territories, which were divided between the United Kingdom and France. The successful Turkish War of Independence against the occupying Allies led to the emergence of the Republic of Turkey in the Anatolian heartland and the abolition of the Ottoman monarchy."
Q1323642,Transcontinental nation,"This is a list of countries located on  more than one continent, known as transcontinental states or intercontinental states. While there are many countries with non-contiguous overseas territories fitting this definition, only a limited number of countries have territory straddling an overland continental boundary, most commonly the line that separates Europe and Asia.The boundary between Europe and Asia is purely conventional, and several conventions remained in use well into the 20th century.  However, the now-prevalent convention, used for the purposes of this list, follows the Caucasus northern chain, the Ural River and the Ural Mountains. It has been in use by some cartographers since about 1850. This convention results in several countries finding themselves almost entirely in ""Asia"", with a few small enclaves or districts technically in ""Europe"". Notwithstanding these anomalies, this list of transcontinental or intercontinental states respects the convention that Europe and Asia are full continents rather than subcontinents or component landmasses of the larger Eurasian continent.Listed further below, separately, are countries with distant non-contiguous parts (overseas territories) on separate continents."
Q1345660,vilayet of angora,"The Vilayet of Ankara or Angora was a first-level administrative division (vilayet) of the Ottoman Empire, centered on the city of Angora (Ankara) in north-central Anatolia, which included most of ancient Galatia."
Q1462047,Vilayets of the Ottoman Empire,"The Vilayets (Turkish pronunciation: [vilaːˈjet]) of the Ottoman Empire were the first-order administrative division, or provinces, of the later empire, introduced with the promulgation of the Vilayet Law (Turkish: Teşkil-i Vilayet Nizamnamesi) of 21 January 1867. The reform was part of the ongoing administrative reforms that were being enacted throughout the empire, and enshrined in the Imperial Edict of 1856. The reform was at first implemented experimentally in the Danube Vilayet, specially formed in 1864 and headed by the leading reformist Midhat Pasha. The reform was gradually implemented, and not until 1884 was it applied to the entirety of the Empire's provinces."
Q149621,Administrative divisions of British Columbia,"A district is a type of administrative division that, in some countries, is managed by local government. Across the world, areas known as ""districts"" vary greatly in size, spanning regions or counties, several municipalities, subdivisions of municipalities, school district, or political district."
Q151885,Sociological concept,"Concepts are defined as abstract ideas or general notions that occur in the mind, in speech, or in thought. They are understood to be the fundamental building blocks of thoughts and beliefs. They play an important role in all aspects of cognition. As such, concepts are studied by several disciplines, such as linguistics, psychology, and philosophy, and these disciplines are interested in the logical and psychological structure of concepts, and how they are put together to form thoughts and sentences. The study of concepts has served as an important flagship of an emerging interdisciplinary approach called cognitive science.In contemporary philosophy, there are at least three prevailing ways to understand what a concept is:Concepts as mental representations, where concepts are entities that exist in the mind (mental objects)Concepts as abilities, where concepts are abilities peculiar to cognitive agents (mental states)Concepts as Fregean senses (see sense and reference), where concepts are abstract objects, as opposed to mental objects and mental statesConcepts can be organized into a hierarchy, higher levels of which are termed ""superordinate"" and lower levels termed ""subordinate"". Additionally, there is the ""basic"" or ""middle"" level at which people will most readily categorize a concept. For example, a basic-level concept would be ""chair"", with its superordinate, ""furniture"", and its subordinate, ""easy chair"".A concept is instantiated (reified) by all of its actual or potential instances, whether these are things in the real world or other ideas.Concepts are studied as components of human cognition in the cognitive science disciplines of linguistics, psychology and, philosophy, where an ongoing debate asks whether all cognition must occur through concepts. Concepts are used as formal tools or models in mathematics, computer science, databases and artificial intelligence where they are sometimes called classes, schema or categories. In informal use the word concept often just means any idea."
Q15198957,the six symmetries of music,"Music can be analysed by considering a variety of its elements, or parts (aspects, characteristics, features), individually or together. A commonly used list of the main elements includes pitch, timbre, texture, volume, duration and form. The elements of music may be compared to the elements of art or design."
Q154195,queens of bavaria,"The Kingdom of Bavaria (German: Königreich Bayern; Austro-Bavarian: Kinereich Bayern) was a German state that succeeded the former Electorate of Bavaria in 1805 and continued to exist until 1918. The Bavarian Elector Maximilian IV Joseph of the House of Wittelsbach became the first King of Bavaria in 1805 as Maximilian I Joseph. The crown would go on being held by the Wittelsbachs until the kingdom came to an end in 1918. Most of Bavaria's present-day borders were established after 1814 with the Treaty of Paris, in which Bavaria ceded Tyrol and Vorarlberg to the Austrian Empire while receiving Aschaffenburg and Würzburg. With the unification of Germany into the German Empire in 1871, the kingdom became a federal state of the new Empire and was second in size, power, and wealth only to the leading state, the Kingdom of Prussia. In 1918, Bavaria became a republic, and the kingdom was thus succeeded by the current Free State of Bavaria."
Q159334,Senior high pupil,"A secondary school is both an organization that provides secondary education and the building where this takes place. Some secondary schools can provide both lower secondary education and upper secondary education (levels 2 and 3 of the ISCED scale), but these can also be provided in separate schools, as in the American middle and  high school system.Secondary schools typically follow on from primary schools and lead into vocational and tertiary education. Attendance is compulsory in most countries for students between the ages of 11 and 16.  The organisations, buildings, and terminology are more or less unique in each country."
Q160016,United Nations member states,"The United Nations member states are the 193 sovereign states that are members of the United Nations (UN) and have equal representation in the UN General Assembly. The UN is the world's largest intergovernmental organization.The criteria for admission of new members to the UN are set out in Chapter II, Article 4 of the UN Charter:Membership in the United Nations is open to all peace-loving states which accept the obligations contained in the present Charter and, in the judgement of the Organization, are able and willing to carry out these obligations.The admission of any such state to membership in the United Nations will be effected by a decision of the General Assembly upon the recommendation of the Security Council.A recommendation for admission from the Security Council requires affirmative votes from at least nine of the council's fifteen members, with none of the five permanent members using their veto power. The Security Council's recommendation must then be approved in the General Assembly by a two-thirds majority vote.In principle, only sovereign states can become UN members, and currently all UN members are sovereign states. Although five members were not sovereign when they joined the UN, all subsequently became fully independent between 1946 and 1991. Because a state can only be admitted to membership in the UN by the approval of the Security Council and the General Assembly, a number of states that are considered sovereign according to the Montevideo Convention are not members of the UN. This is because the UN does not consider them to possess sovereignty, mainly due to the lack of international recognition or due to opposition from one of the permanent members.In addition to the member states, the UN also invites non-member states to become observers at the UN General Assembly (currently two: the Holy See and Palestine), allowing them to participate and speak in General Assembly meetings, but not vote. Observers are generally intergovernmental organizations and international organizations and entities whose statehood or sovereignty is not precisely defined."
Q1646605,member-state,"A member state is a state that is a member of an international organization or of a federation or confederation.The World Trade Organization (WTO) and the International Monetary Fund (IMF) include some members that are not sovereign states; thus, neither organization ever speaks of ""member states""; the WTO has simply ""members"" (see WTO members), whereas the IMF calls its members ""member countries""."
Q167270,trade mark,"A trademark (also written trade mark or trade-mark) is a type of intellectual property consisting of a recognizable sign, design, or expression which identifies products or services of a particular source from those of others, although trademarks used to identify services are usually called service marks. The trademark owner can be an individual, business organization, or any legal entity. A trademark may be located on a package, a label, a voucher, or on the product itself. For the sake of corporate identity, trademarks are often displayed on company buildings. It is legally recognized as a type of intellectual property.The first legislative act concerning trademarks was passed in 1266 under the reign of Henry III, requiring all bakers to use a distinctive mark for the bread they sold. The first modern trademark laws emerged in the late 19th century. In France the first comprehensive trademark system in the world was passed into law in 1857. The Trade Marks Act 1938 of the United Kingdom changed the system, permitting registration based on ""intent-to-use”, creating an examination based process, and creating an application publication system. The 1938 Act, which served as a model for similar legislation elsewhere, contained other novel concepts such as ""associated trademarks"", a consent to use system, a defensive mark system, and non claiming right system.The symbols ™ (the trademark symbol) and ® (the registered trademark symbol) can be used to indicate trademarks; the latter is only for use by the owner of a trademark that has been registered."
Q17167,Res Publica Romana,"The Roman Republic (Latin: Rēs pūblica Rōmāna, Classical Latin: [ˈreːs ˈpuːb.lɪ.ka roːˈmaː.na]) was the era of classical Roman civilization beginning with the overthrow of the Roman Kingdom, traditionally dated to 509 BC, and ending in 27 BC with the establishment of the Roman Empire. It was during this period that Rome's control expanded from the city's immediate surroundings to hegemony over the entire Mediterranean world.Roman society under the Republic was a cultural mix of Latin, Etruscan, and Greek elements, which is especially visible in the Roman Pantheon. Its political organisation was strongly influenced by the Greek city states of Magna Graecia, with collective and annual magistracies, overseen by a senate. The top magistrates were the two consuls, who had an extensive range of executive, legislative, judicial, military, and religious powers. Whilst there were elections each year, the Republic was not a democracy, but an oligarchy, as a small number of large families (called gentes) monopolised the main magistracies. Roman institutions underwent considerable changes throughout the Republic to adapt to the difficulties it faced, such as the creation of promagistracies to rule its conquered provinces, or the composition of the senate.Unlike the Pax Romana of the Roman Empire, the Republic was in a state of quasi-perpetual war throughout its existence. Its first enemies were its Latin and Etruscan neighbours as well as the Gauls, who even sacked the city in 387 BC. The Republic nonetheless demonstrated extreme resilience and always managed to overcome its losses, however catastrophic. After the Gallic Sack, Rome indeed conquered the whole Italian peninsula in a century, which turned the Republic into a major power in the Mediterranean. The Republic's greatest enemy was doubtless Carthage, against which it waged three wars. The Punic general Hannibal famously invaded Italy by crossing the Alps and inflicted on Rome two devastating defeats at the Lake Trasimene and Cannae, but the Republic once again recovered and won the war thanks to Scipio Africanus at the Battle of Zama in 202 BC. With Carthage defeated, Rome became the dominant power of the ancient Mediterranean world. It then embarked in a long series of difficult conquests, after having notably defeated Philip V and Perseus of Macedon, Antiochus III of the Seleucid Empire, the Lusitanian Viriathis, the Numidian Jugurtha, the great Pontic king Mithridates VI, the Gaul Vercingetorix, and the Egyptian queen Cleopatra.At home, the Republic similarly experienced a long streak of social and political crises, which ended in several violent civil wars. At first, the Conflict of the Orders opposed the patricians, the closed oligarchic elite, to the far more numerous plebs, who finally achieved political equality in several steps during the 4th century BC. Later, the vast conquests of the Republic disrupted its society, as the immense influx of slaves they brought enriched the aristocracy, but ruined the peasantry and urban workers. In order to solve this issue, several social reformers, known as the Populares, tried to pass agrarian laws, but the Gracchi brothers, Saturninus, or Clodius Pulcher were all murdered by their opponents, the Optimates, keepers of the traditional aristocratic order. Mass slavery also caused three Servile Wars; the last of them was led by Spartacus, a skilful gladiator who ravaged Italy and left Rome powerless until his defeat in 71 BC. In this context, the last decades of the Republic were marked by the rise of great generals, who exploited their military conquests and the factional situation in Rome to gain control of the political system. Marius (between 105–86 BC), then Sulla (between 82–78 BC) dominated in turn the Republic; both used extraordinary powers to purge their opponents. These multiple tensions led to a series of civil wars; the first between the two generals Julius Caesar and Pompey. Despite his victory and appointment as dictator for life, Caesar was murdered in 44 BC. Caesar's heir Octavian and lieutenant Mark Antony defeated Caesar's assassins Brutus and Cassius in 42 BC, but then turned against each other. The final defeat of Mark Antony and his ally Cleopatra at the Battle of Actium in 31 BC, and the Senate's grant of extraordinary powers to Octavian as Augustus in 27 BC – which effectively made him the first Roman emperor – thus ended the Republic."
Q1726,monaco of bavaria,"Munich (; German: München [ˈmʏnçn̩] (listen); Austro-Bavarian: Minga [ˈmɪŋ(ː)ɐ] or more common Minna [ˈmɪna]; Latin: Monachium) is the capital and most populous city of Bavaria, the second most populous German federal state. With a population of around 1.5 million, it is the third-largest city in Germany, after Berlin and Hamburg, as well as the 12th-largest city in the European Union. The city's metropolitan region is home to 6 million people. Straddling the banks of the River Isar (a tributary of the Danube) north of the Bavarian Alps, it is the seat of the Bavarian administrative region of Upper Bavaria, while being the most densely populated municipality in Germany (4,500 people per km²). Munich is the second-largest city in the Bavarian dialect area, after the Austrian capital of Vienna.The city is a global centre of art, science, technology, finance, publishing, culture, innovation, education, business, and tourism and enjoys a very high standard and quality of living, reaching first in Germany and third worldwide according to the 2018 Mercer survey, and being rated the world's most liveable city by the Monocle's Quality of Life Survey 2018. According to the Globalization and World Rankings Research Institute Munich is considered an alpha-world city, as of 2015. Munich is a major international center of engineering, science, innovation, and research, exemplified by the presence of two research universities, a multitude of scientific institutions in the city and its surroundings, and world class technology and science museums like the Deutsches Museum and BMW Museum. Munich houses many multinational companies and its economy is based on high tech, automobiles, the service sector and creative industries, as well as IT, biotechnology, engineering and electronics among many others.The name of the city is derived from the Old/Middle High German term Munichen, meaning ""by the monks"". It derives from the monks of the Benedictine order, who ran a monastery at the place that was later to become the Old Town of Munich; hence the monk depicted on the city's coat of arms. Munich was first mentioned in 1158. Catholic Munich strongly resisted the Reformation and was a political point of divergence during the resulting Thirty Years' War, but remained physically untouched despite an occupation by the Protestant Swedes. Once Bavaria was established as a sovereign kingdom in 1806, it became a major European centre of arts, architecture, culture and science. In 1918, during the German Revolution, the ruling house of Wittelsbach, which had governed Bavaria since 1180, was forced to abdicate in Munich and a short-lived socialist republic was declared.In the 1920s, Munich became home to several political factions, among them the NSDAP. The first attempt of the Nazi movement to take over the German government in 1923 with the Beer Hall Putsch was stopped by the Bavarian police in Munich with gunfire. After the Nazis' rise to power, Munich was declared their ""Capital of the Movement"". During World War II, Munich was heavily bombed and more than 50% of the entire city and up to 90% of the historic centre were destroyed. After the end of postwar American occupation in 1949, there was a great increase in population and economic power during the years of Wirtschaftswunder, or ""economic miracle"". Unlike many other German cities which were heavily bombed, Munich restored most of its traditional cityscape and hosted the 1972 Summer Olympics. The 1980s brought strong economic growth, high-tech industries and scientific institutions, and population growth. The city is home to major corporations like BMW, Siemens, MAN, Linde, Allianz and MunichRE.Munich is home to many universities, museums and theatres. Its numerous architectural attractions, sports events, exhibitions and its annual Oktoberfest attract considerable tourism. Munich is one of the most prosperous and fastest growing cities in Germany. It is a top-ranked destination for migration and expatriate location. Munich hosts more than 530,000 people of foreign background, making up 37.7% of its population."
Q177220,vocalist,
Q177634,Communities,"A community is a small or large social unit (a group of living things) that has something in common, such as norms, religion, values, customs, or identity.  Communities often share a sense of place that is situated in a given geographical area (e.g. a country, village, town, or neighbourhood) or in virtual space through communication platforms. Durable relations that extend beyond immediate genealogical ties also define a sense of community. People tend to define those social ties as important to their identity, practice, and roles in social institutions (such as family, home, work, government, society, or humanity at-large). Although communities are usually small relative to personal social ties (micro-level), ""community"" may also refer to large group affiliations (or macro-level), such as national communities, international communities, and virtual communities.The English-language word ""community"" derives from the Old French comuneté, which comes from the Latin communitas ""community"", ""public spirit"" (from Latin communis, ""shared in common"").Human communities may share intent, belief, resources, preferences, needs, and risks in common, affecting the identity of the participants and their degree of cohesiveness."
Q1798603,string musical instrument,"String instruments, stringed instruments, or chordophones are musical instruments that produce sound from vibrating strings when the performer plays or sounds the strings in some manner. Musicians play some string instruments by plucking the strings with their fingers or a plectrum—and others by hitting the strings with a light wooden hammer or by rubbing the strings with a bow. In some keyboard instruments, such as the harpsichord, the musician presses a key that plucks the string.With bowed instruments, the player pulls a rosined horsehair bow across the strings, causing them to vibrate. With a hurdy-gurdy, the musician cranks a wheel whose rosined edge touches the strings. Bowed instruments include the string section instruments of the Classical music orchestra (violin, viola, cello and double bass) and a number of other instruments (e.g., viols and gambas used in early music from the Baroque music era and fiddles used in many types of folk music). All of the bowed string instruments can also be plucked with the fingers, a technique called ""pizzicato"". A wide variety of techniques are used to sound notes on the electric guitar, including plucking with the fingernails or a plectrum, strumming and even ""tapping"" on the fingerboard and using feedback from a loud, distorted guitar amplifier to produce a sustained sound. Some types of string instrument are mainly plucked, such as the harp and the electric bass. In the Hornbostel-Sachs scheme of musical instrument classification, used in organology, string instruments are called chordophones. Other examples include the sitar, rebab, banjo, mandolin, ukulele, and bouzouki.In most string instruments, the vibrations are transmitted to the body of the instrument, which often incorporates some sort of hollow or enclosed area. The body of the instrument also vibrates, along with the air inside it. The vibration of the body of the instrument and the enclosed hollow or chamber make the vibration of the string more audible to the performer and audience. The body of most string instruments is hollow. Some, however—such as electric guitar and other instruments that rely on electronic amplification—may have a solid wood body."
